sys_temp,resp,server_time,receiver,receiver_time,DC,PC,LV,BV,BU,I,T,DU,RU,X,Y,Z,cpu_temp,cpu_time
2024-08-14 22:00:03 temp=44.3'C,"*450281.0#20[0009],OK,#9A|",2024-08-14T22:00:10.659718Z,450281,,,,,,,,,,,,,,44.3,2024-08-14T22:00:03Z
2024-08-14 22:15:03 temp=50.1'C,"*450281.0#20[0009],OK,#9A450281,001,2024-08-14 22:14:59,STS,DC=0,PC=60,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=29.1,DU=0.0,RU=0.0,XYZ=0.06:-0.19:-0.84,#DE>|",2024-08-14T22:15:04.924579Z,450281,2024-08-14T22:14:59Z,0,60,0.2,3.6,9.2,2.4,29.1,0,0,0.06,-0.19,-0.84,50.1,2024-08-14T22:15:03Z
2024-08-14 22:30:02 temp=50.1'C,"*450281.0#20[0009],OK,#9A450281,002,2024-08-14 22:29:59,STS,DC=0,PC=498,LV=0.2,BV=3.6,BU=9.2,I=2.3,T=28.8,DU=0.0,RU=0.0,XYZ=0.03:-0.19:-0.84,#26>|",2024-08-14T22:30:04.379249Z,450281,2024-08-14T22:29:59Z,0,498,0.2,3.6,9.2,2.3,28.8,0,0,0.03,-0.19,-0.84,50.1,2024-08-14T22:30:02Z
2024-08-14 22:45:03 temp=51.6'C,"*450281.0#20[0009],OK,#9A450281,003,2024-08-14 22:44:59,STS,DC=0,PC=869,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=28.6,DU=0.0,RU=0.0,XYZ=0.06:-0.19:-0.84,#28>|",2024-08-14T22:45:04.719330Z,450281,2024-08-14T22:44:59Z,0,869,0.2,3.6,9.2,2.4,28.6,0,0,0.06,-0.19,-0.84,51.6,2024-08-14T22:45:03Z
2024-08-14 23:00:03 temp=51.1'C,"*450281.0#20[0009],OK,#9A450281,004,2024-08-14 22:59:59,STS,DC=0,PC=975,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=28.4,DU=0.0,RU=0.0,XYZ=0.06:-0.19:-0.84,#2B>|",2024-08-14T23:00:05.187362Z,450281,2024-08-14T22:59:59Z,0,975,0.2,3.6,9.2,2.4,28.4,0,0,0.06,-0.19,-0.84,51.1,2024-08-14T23:00:03Z
2024-08-14 23:15:02 temp=51.6'C,"*450281.0#20[0009],OK,#9A450281,005,2024-08-14 23:14:59,STS,DC=0,PC=1067,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=28.2,DU=0.0,RU=0.0,XYZ=0.06:-0.19:-0.84,#4B>|",2024-08-14T23:15:04.212079Z,450281,2024-08-14T23:14:59Z,0,1067,0.2,3.6,9.2,2.4,28.2,0,0,0.06,-0.19,-0.84,51.6,2024-08-14T23:15:02Z
2024-08-14 23:30:03 temp=50.1'C,"*450281.0#20[0009],OK,#9A450281,006,2024-08-14 23:29:59,STS,DC=0,PC=1272,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=28.1,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#50>|",2024-08-14T23:30:04.507589Z,450281,2024-08-14T23:29:59Z,0,1272,0.2,3.6,9.2,2.4,28.1,0,0.1,0.06,-0.19,-0.84,50.1,2024-08-14T23:30:03Z
2024-08-14 23:45:03 temp=49.1'C,"*450281.0#20[0009],OK,#9A450281,007,2024-08-14 23:44:59,STS,DC=0,PC=1399,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=28.1,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#58>|",2024-08-14T23:45:05.081943Z,450281,2024-08-14T23:44:59Z,0,1399,0.2,3.6,9.2,2.4,28.1,0,0.1,0.06,-0.19,-0.84,49.1,2024-08-14T23:45:03Z
2024-08-15 00:00:02 temp=48.2'C,"*450281.0#20[0009],OK,#9A450281,008,2024-08-14 23:59:59,STS,DC=0,PC=1465,LV=0.2,BV=3.6,BU=9.2,I=2.5,T=28.0,DU=0.0,RU=0.1,XYZ=0.03:-0.19:-0.84,#56>|",2024-08-15T00:00:04.248860Z,450281,2024-08-14T23:59:59Z,0,1465,0.2,3.6,9.2,2.5,28,0,0.1,0.03,-0.19,-0.84,48.2,2024-08-15T00:00:02Z
2024-08-15 00:15:03 temp=46.2'C,"*450281.0#20[0009],OK,#9A|",2024-08-15T00:15:04.752145Z,450281,,,,,,,,,,,,,,46.2,2024-08-15T00:15:03Z
2024-08-15 00:30:02 temp=45.7'C,"*450281.0#20[0009],OK,#9A450281,010,2024-08-15 00:29:59,STS,DC=0,PC=1722,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=28.1,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#47>|",2024-08-15T00:30:04.227955Z,450281,2024-08-15T00:29:59Z,0,1722,0.2,3.6,9.2,2.4,28.1,0,0.1,0.06,-0.19,-0.84,45.7,2024-08-15T00:30:02Z
2024-08-15 00:45:02 temp=45.2'C,"*450281.0#20[0009],OK,#9A450281,011,2024-08-15 00:44:59,STS,DC=0,PC=1739,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=28.0,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#4C>|",2024-08-15T00:45:04.497656Z,450281,2024-08-15T00:44:59Z,0,1739,0.2,3.6,9.2,2.4,28,0,0.1,0.06,-0.19,-0.84,45.2,2024-08-15T00:45:02Z
2024-08-15 01:00:03 temp=44.8'C,"*450281.0#20[0009],OK,#9A450281,012,2024-08-15 00:59:59,STS,DC=0,PC=1767,LV=0.2,BV=3.6,BU=9.2,I=2.5,T=27.9,DU=0.0,RU=0.1,XYZ=0.03:-0.19:-0.84,#5A>|",2024-08-15T01:00:05.919518Z,450281,2024-08-15T00:59:59Z,0,1767,0.2,3.6,9.2,2.5,27.9,0,0.1,0.03,-0.19,-0.84,44.8,2024-08-15T01:00:03Z
2024-08-15 01:15:02 temp=43.8'C,"*450281.0#20[0009],OK,#9A450281,013,2024-08-15 01:14:59,STS,DC=0,PC=1777,LV=0.2,BV=3.6,BU=9.2,I=2.4,T=27.9,DU=0.0,RU=0.1,XYZ=0.06:-0.19:-0.84,#56>|",2024-08-15T01:15:04.161378Z,450281,2024-08-15T01:14:59Z,0,1777,0.2,3.6,9.2,2.4,27.9,0,0.1,0.06,-0.19,-0.84,43.8,2024-08-15T01:15:02Z
